region_name,period_begin,period_end,total_homes_sold,inventory,active_listings,age_of_inventory,median_active_list_price,months_of_supply
"Floyd County, IN",2018-12-31,2019-03-24,209.0,211.0,229.0,42.7,197158.3,15.66234327193785
"Stone County, AR",2022-04-18,2022-07-10,41.0,69.0,72.0,64.7,206266.6,29.333333333333336
"Traverse County, MN",2021-02-22,2021-05-16,2.0,8.0,8.0,198.5,96575.0,7.5
"Beauregard Parish, LA",2022-01-17,2022-04-10,31.0,52.0,55.0,77.7,147833.2,25.627777777777776
"Tunica County, MS",2020-04-13,2020-07-05,5.0,6.0,6.0,110.9,117141.6,6.375
"Sequoyah County, OK",2017-12-18,2018-03-11,24.0,69.0,72.0,82.7,119720.8,45.209259259259255
"Grundy County, TN",2017-07-03,2017-09-24,17.0,47.0,48.0,86.29999999999998,158125.0,34.45
"Jefferson County, MO",2019-11-25,2020-02-16,575.0,576.0,633.0,69.0,203962.5,14.147139169650092
"Uvalde County, TX",2022-02-14,2022-05-08,41.0,34.0,38.0,42.0,272241.6,18.08829365079365
"Loudon County, TN",2021-08-09,2021-10-31,263.0,210.0,233.0,43.0,360166.0,11.571378187693712
"Kent County, RI",2017-03-27,2017-06-18,735.0,787.0,861.0,44.5,243183.3,14.648209483796506
"Dewey County, OK",2022-03-14,2022-06-05,3.0,4.0,4.0,96.4,129770.7,4.333333333333333
"Gulf County, FL",2021-11-22,2022-02-13,11.0,10.0,11.0,37.5,370500.0,7.7142857142857135
"Scott County, MS",2018-03-26,2018-06-17,7.0,31.0,31.0,137.8,127291.6,28.58333333333333
"Brunswick County, NC",2018-08-20,2018-11-11,589.0,1273.0,1332.0,85.29999999999998,288607.0,65.36626371248668
"Prince George's County, MD",2021-12-27,2022-03-20,2393.0,1163.0,1388.0,36.1,388814.5,7.192946334074365
"Lorain County, OH",2020-05-18,2020-08-09,1224.0,884.0,1001.0,45.2,191070.8,10.099448888319436
"Navajo County, AZ",2021-04-19,2021-07-11,345.0,72.0,81.0,28.0,423141.6,3.0427442250612984
"Randolph County, AL",2019-03-11,2019-06-02,39.0,104.0,108.0,72.79999999999998,314000.0,32.65151515151516
"Sebastian County, AR",2019-12-02,2020-02-23,2.0,10.0,10.0,46.7,172785.8,11.0
"McDowell County, NC",2021-12-27,2022-03-20,97.0,96.0,105.0,80.2,296916.6,15.09408253783254
"Grand County, CO",2019-04-22,2019-07-14,1.0,1.0,1.0,52.1,891000.0,1.0
"Grant County, WV",2020-08-17,2020-11-08,18.0,17.0,18.0,56.4,159733.3,12.966666666666663
"Grant County, WV",2020-07-13,2020-10-04,11.0,19.0,21.0,50.3,154425.0,18.55555555555556
"Brown County, OH",2019-12-02,2020-02-23,69.0,129.0,138.0,92.1,149058.3,27.709974747474742
"Washington County, MS",2018-12-31,2019-03-24,3.0,2.0,3.0,265.1,40675.0,3.0
"Miami County, KS",2018-02-26,2018-05-20,126.0,150.0,162.0,46.8,252220.8,24.33837250712251
"Izard County, AR",2021-01-25,2021-04-18,26.0,25.0,27.0,94.2,106779.1,14.043333333333331
"Brooks County, GA",2018-11-26,2019-02-17,,1.0,1.0,303.5,139999.0,
"Saline County, IL",2021-12-20,2022-03-13,22.0,48.0,51.0,82.2,76475.0,31.68939393939394
"Lewis County, KY",2020-12-21,2021-03-14,8.0,8.0,9.0,63.3,109625.0,8.928571428571427
"Tippecanoe County, IN",2017-08-14,2017-11-05,,5.0,5.0,98.9,408658.6,
"Acadia Parish, LA",2017-01-23,2017-04-16,38.0,78.0,81.0,93.0,131770.8,31.051388888888887
"Chesterfield County, SC",2021-07-12,2021-10-03,37.0,56.0,60.0,90.9,188441.6,24.4530303030303
"Hickman County, TN",2021-09-27,2021-12-19,64.0,67.0,73.0,54.3,294432.5,24.86805555555556
"Alexandria, VA",2018-09-10,2018-12-02,611.0,489.0,550.0,42.1,572586.6,11.81898447067136
"Wabash County, IN",2022-01-24,2022-04-17,68.0,60.0,67.0,35.0,134400.0,12.682341269841269
"Pierce County, GA",2018-01-08,2018-04-01,,1.0,1.0,187.4,108750.0,
"Lewis County, TN",2020-05-04,2020-07-26,35.0,38.0,42.0,64.4,172841.4,14.245454545454544
"Klickitat County, WA",2017-04-17,2017-07-09,48.0,53.0,58.0,87.2,326237.5,16.193434343434344
"Mecklenburg County, VA",2021-05-10,2021-08-01,8.0,1.0,1.0,355.0,750000.0,0.5
